联想小新 潮7000-13（i5 8250U/8GB/256GB）酷睿8代处理器，MX150 2G独显，背光键盘，窄边框屏幕,参考价：,5299,9.0
HUAWEI MateBook 14（i5 8265U/8GB/512GB/MX250）酷睿8代处理器，MX250显卡，指纹识别，一碰即传,参考价：,5799,9.8
戴尔Inspiron 灵越 14 5000系列（Ins 14-5488-D1625S）酷睿8代处理器，MX150显卡，窄边框屏，支持快充,参考价：,5199,9.6
联想小新 14（i5 8265U/8GB/256GB+1TB）酷睿8代处理器，MX230显卡，窄边框，180度开合,参考价：,5099,9.8
HUAWEI MateBook 13（i5 8265U/8GB/256GB/独显）酷睿8代处理器，全面屏，指纹电源键，极速快充,参考价：,5599,9.7
联想小新Air 13（i5 8265U/8GB/512GB/高定版）酷睿8代处理器，MX150显卡，高色域，FN+Q模式,参考价：,5599,9.9
戴尔Inspiron 灵越 14 5000系列（Ins 14-5488-D1725S）酷睿8代处理器，MX150显卡，窄边框屏，支持快充,参考价：,5999,9.6
联想小新Air 15（i5 8250U/8GB/256GB）酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,参考价：,5499,9.7
HUAWEI MateBook 14（i5 8265U/8GB/512GB/集显）,参考价：,5499,9.8
华硕飞行堡垒7（R7-3750H/8GB/512GB/GTX1650）AMD处理器，GTX1050显卡，IPS屏，背光键盘,参考价：,5999,10.0
HUAWEI MateBook 13（i5 8265U/8GB/512GB/独显）酷睿8代处理器，全面屏，指纹电源键，极速快充,参考价：,5699,9.7
ThinkPad 翼480（20KNA004CD）酷睿8代处理器，背光键盘，核心显卡，轻薄窄边,参考价：,5499,
联想小新 潮7000-14（i5 7200U/4GB/128GB+1TB）酷睿7代处理器，窄边框，1小时充电80%，背光键盘,参考价：,5099,8.0
小米笔记本Air（13.3英寸）酷睿6代处理器，DDR4高速内存，支持1C快充，轻薄全金属机身,参考价：,5988,6.1
荣耀MagicBook（i7 8550U/8GB/256GB）酷睿8代处理器，5.2mm窄边框，MX150显卡，指纹识别电源键,参考价：,5699,9.0
戴尔Inspiron 灵越 燃7000 II（Ins 14-7472-D1625S）酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,参考价：,5499,9.6
惠普星 14-CE1004TX（5HR70PA）微边框屏幕，楔型边框设计，3D立体全金属键盘，长效续航,参考价：,5499,9.4
惠普星 13-AN0005TU（5GR00PA）酷睿8代处理器，72%色域，背光键盘，指纹识别,参考价：,5199,9.3
联想小新Air 13（i5 8265U/8GB/512GB/MX250）酷睿8代处理器，MX250显卡，高色域，FN+Q模式,参考价：,5399,9.9
微软Surface Pro 4（M3/4GB/128GB/中国版）酷睿6代处理器，面部识别，PixelSense触控屏，双摄像头,参考价：,5388,8.9
华硕飞行堡垒7（R7-3750H/8GB/512GB/GTX1050）AMD处理器，GTX1050显卡，IPS屏，背光键盘,参考价：,5599,10.0
惠普战66 G2 14（5TR04PC）酷睿8代处理器，集成显卡，防泼溅键盘，金属机身,参考价：,5299,
联想小新 潮7000-14（i5 7200U/8GB/128GB+1TB）1小时充电80%，背光键盘，窄边框，双硬盘轻薄本,参考价：,5299,8.0
华硕灵耀S 2代 S4300UN（i7 8550U/8GB/256GB）酷睿8代处理器，MX150显卡，三面微边框， 3.5°键盘倾斜,参考价：,5499,8.8
华硕PX574FB8565（8GB/256GB+1TB）酷睿8代处理器，MX110显卡，窄边框，金属机身,参考价：,5999,10.0
惠普PAVILION 15-CX0064TX（4HG29PA）酷睿8代处理器，背光键盘 ，高性能显卡，超窄边框,参考价：,5799,9.7
惠普星 14-CE2015TX（6QK65PA）酷睿8代处理器，微边框屏幕，楔型边框设计，3D立体全金属键盘,参考价：,5499,9.4
惠普战66 G2 15（6MU70PC）酷睿8代处理器，MX250显卡，防泼溅键盘，金属机身,参考价：,5699,
联想拯救者 Y7000（i5 8300H/8GB/512GB/1050）酷睿8代处理器，背光键盘 ，太阳纹饰，窄边框屏幕,参考价：,5499,8.6
HUAWEI MateBook D（i5/8GB/256GB/2018版）酷睿8代处理器，窄边框，金属机身，高性能显卡,参考价：,5088,8.3
联想Y700-15-ISE（旗舰版）酷睿6代处理器，JBL保真音箱，超跑机身，178°广视角绚彩屏,参考价：,5299,7.5
神舟战神Z7M-KP5GZ酷睿8代处理器，高性能显卡，窄边框全面屏，背光键盘,参考价：,5688,8.3
ThinkPad New S2（20GUA004CD）酷睿6代处理器，轻薄金属机身，180度屏幕开合，全高清IPS屏幕,参考价：,5299,9.5
ThinkPad New S2 2019（20NVA000CD）酷睿8代处理器，集成显卡，全尺寸键盘，指纹识别,参考价：,5999,
戴尔Vostro 成就 15 5000系列 5568（VOSTRO 15-5568-D1845S）酷睿7代处理器，15.6英寸LED背光，防眩光屏幕，时尚轻薄本,参考价：,5499,9.4
华硕FL8000UN8550（8GB/128GB+1TB）酷睿8代处理器，MX150显卡，背装式无缝分岛键盘，VGA网络摄像头,参考价：,5399,8.9
炫龙毁灭者DD2（i5 8400/8GB/128GB+1TB）酷睿8代处理器，1050Ti显卡，白色背光键盘，双风扇四铜管散热,参考价：,5488,6.0
ThinkPad L480（海量版）酷睿8代处理器，AMD显卡，指纹识别，人脸识别,参考价：,5899,
惠普星 15-CS0049TX（4JD44PA）酷睿8代处理器，楔型边框设计，3D立体全金属键盘，长效续航,参考价：,5499,6.1
戴尔Inspiron 灵越 14 5000系列（Ins 14-5480-D1625S）酷睿8代处理器，MX130显卡，窄边框屏，支持快充,参考价：,5999,10.0
联想昭阳K43c（i5 8250U/8GB/1TB）,参考价：,5999,
小米笔记本 Pro 2019（i5/8GB/256GB）酷睿8代处理器，MX250显卡，指纹识别，背光键盘,参考价：,5398,6.3
惠普PAVILION 光影精灵4代（傲腾版）酷睿8代处理器，背光键盘，高性能显卡，超窄边框,参考价：,5299,9.7
炫龙T3 Pro-581S2N酷睿9代处理器，GTX16系显卡，窄边框，背光键盘,参考价：,5999,
联想昭阳E42-80-ISE（8GB/1TB/2G独显）酷睿7代处理器，双显卡，防眩光液晶显示屏，指纹识别,参考价：,5799,6.9
联想小新Air 14（i5 8250U/8GB/256GB）酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,参考价：,5799,9.5
神舟战神Z7M-KP7GC酷睿八代处理器，高性能显卡，双硬盘，IPS高清屏,参考价：,5699,8.3
联想小新Air 13（i5 8265U/8GB/256GB/高定版）酷睿8代处理器，MX150显卡，高色域，FN+Q模式,参考价：,5299,9.9
联想小新 潮7000-14（i5 8250U/8GB/512GB/RX 535）酷睿8代处理器，窄边框屏幕，RX 535显卡，180°翻转,参考价：,5199,8.0
机械革命S1（i7 8565U/8GB/256GB/MX250）酷睿8代处理器，MX250显卡，轻薄颜值，超窄边框,参考价：,5799,9.9
机械革命S1（i7 8550U/8GB/256GB）八代i7满血MX150，72%色域1670万色IPS，轻薄颜值，超窄边框,参考价：,5199,9.9
联想拯救者R720-15IKB（i5 7300HQ/8GB/128GB+1TB/GTX1050 2G独显）IPS显示屏，杜比音效，背光键盘，酷睿7代处理器,参考价：,5799,7.8
戴尔Inspiron 灵越 14 5000系列（Ins 14-5488-D2725P）酷睿8代处理器，MX250显卡，窄边框屏，支持快充,参考价：,5599,9.6
联想小新 14（i7 8565U/8GB/256GB+1TB）酷睿8代处理器，MX230显卡，窄边框，180度开合,参考价：,5799,9.8
ThinkPad E585（20KV000QCD）锐龙处理器，9.2mm边框，集成显卡，全尺寸键盘,参考价：,5499,4.4
惠普星 14-CE2018TX（6SG30PA）酷睿8代处理器，MX250显卡，微边框屏幕，3D立体全金属键盘,参考价：,5599,9.4
华硕灵耀S 2代 S4300FN（i5 8265U/8GB/512GB）三面微边框，轻薄本，MX150显卡， 3.5°键盘倾斜,参考价：,5999,8.8
华硕U4100UQ7200（4GB/256GB/2G独显/指纹识别）酷睿7代处理器，940MX性能级显卡，轻薄机身，指纹识别,参考价：,5499,9.5
戴尔G3 15游戏本（Ins 15PD-7645BR）酷睿8代处理器，GTX 10系显卡，双风扇散热，纤薄设计,参考价：,5899,9.5
小米笔记本 Pro（i5/8GB/256GB）酷睿8代处理器，窄边框屏幕，高性能显卡，指纹识别,参考价：,5399,6.3
联想小新 潮7000-13（i7 8550U/8GB/256GB）MX150 2G独显，背光键盘，酷睿8代处理器，窄边框屏幕,参考价：,5899,9.0
戴尔Inspiron 灵越 15 7000系列 游匣Master 赤红（Ins 15-7567-D1545R）酷睿7代处理器，防眩光屏，双风扇散热，GTX10系显卡,参考价：,5599,7.5
神舟战神Z7M-KP5GC酷睿8代处理器，高性能显卡，背光键盘，双风扇散热,参考价：,5799,8.3
ThinkPad L380（极速基础版）酷睿8代处理器，核芯显卡，防泼溅键盘，指纹识别,参考价：,5799,9.4
神舟战神Z7M-CT5NA酷睿9代处理器，新GTX显卡，IPS屏，背光键盘,参考价：,5999,
惠普PAVILION 15-CX0070TX（4HG37PA）酷睿8代处理器，背光键盘，高性能显卡，超窄边框,参考价：,5499,9.7
戴尔Inspiron 灵越 15 5000系列 游匣Speed（Ins 15PD-5545B）酷睿7代处理器，GTX1050 4G独显，超强散热，双硬盘游戏本,参考价：,5299,6.2
惠普星14 青春版 14S-CR1012TX（6QG66PA）酷睿8代处理器，R530显卡，轻薄窄边框，全尺寸键盘,参考价：,5699,10.0
ThinkPad New S2 2017（20J3A002CD）指纹识别，超长续航，IPS屏幕，全尺寸键盘,参考价：,5799,9.8
联想YOGA 720-13IKB（I5 7200U/8GB/256GB）酷睿7代处理器，触控屏幕，360°翻转，指纹识别,参考价：,5999,9.8
惠普星14 青春版 14S-CR1013TX（6QG60PA）酷睿8代处理器，R530显卡，轻薄窄边框，全尺寸键盘,参考价：,5699,10.0
神舟战神K680E-G6D1酷睿7代处理器，72%色域IPS屏，GTX 1050 Ti，集成100万像素摄像头,参考价：,5299,8.3
机械师T90-T1C4区炫彩键盘，广视角屏，双风扇+四铜管散热，轻薄机身,参考价：,5999,7.1
神舟战神Z7-KP5DC酷睿8代处理器，发烧级显卡，IPS屏，全尺寸键盘,参考价：,5999,9.0
华硕灵耀S 2代 S5300UN（i5 8250U/8GB/512GB）三面微边框，轻薄本，MX150显卡， 3.5°键盘倾斜,参考价：,5699,9.1
联想小新Air 14（i5 8265U/8GB/256GB）酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,参考价：,5999,9.5
惠普战66 G2 14（6MC32PC）酷睿8代处理器，MX250显卡，防泼溅键盘，金属机身,参考价：,5499,
神舟战神Z7M-KP7GE酷睿八代处理器，高性能显卡，背光键盘，IPS高清屏,参考价：,5499,8.3
联想昭阳E52-80-ISE（4GB/1TB/2G独显）,参考价：,5099,5.1
联想扬天V330-14（i7 8550U/8GB/1TB/2G独显）酷睿8代处理器，指纹识别，轻薄便携，AMD显卡,参考价：,5599,4.9
联想IdeaPad 720S-14IKB（I5 7200U/8GB/256GB）微边框屏幕，背光键盘，高性能显卡，轻薄金属机身,参考价：,5599,6.5
戴尔Inspiron 灵越 15 5000系列出彩版 星光银（Ins 15UD-3748S）轻薄金属机身，i7高性能处理器，1T海量存储，全尺寸键盘,参考价：,5499,8.7
ThinkPad New S2 2018（20L1A001CD）酷睿8代处理器，背光键盘，核芯显卡，杜比音效,参考价：,5999,9.1
联想小新 潮7000-13（i5 8250U/8GB/512GB）MX150 2G独显，背光键盘，酷睿8代处理器，窄边框屏幕,参考价：,5599,9.0
惠普星 14-CE2019TX（6SG55PA）酷睿8代处理器，MX250显卡，微边框屏幕，3D立体全金属键盘,参考价：,5599,9.4
华硕S4100VN8250（8GB/128GB+1TB/2G独显）酷睿8代处理器，窄边框轻薄，MX150显卡，背光键盘,参考价：,5399,9.7
戴尔Inspiron 灵越 14 5000系列（Ins 14-5488-D1725G）酷睿8代处理器，MX150显卡，窄边框屏，支持快充,参考价：,5999,9.6
联想小新Air 13（i7 8565U/8GB/512GB/高定版）酷睿8代处理器，MX150显卡，高色域，FN+Q模式,参考价：,5999,9.9
机械革命X615.6英寸游戏影音本，酷睿四代i7四核，全高清A+雾面显示屏,参考价：,5999,8.3
