Alienware M15（ALW15M-D1735R）酷睿8代处理器，发烧级显卡，电竞屏，背光键盘,参考价：,1.9万,9.8
苹果新款MacBook Pro 13英寸（MR9U2CH/A）酷睿8代处理器，触控ID，触控栏，视网膜显示屏,参考价：,1.34万,9.6
惠普暗影精灵4 Pro 15-DC1004TX PRC（6GE52PA）酷睿8代处理器，RTX 20系显卡，144Hz屏，背光键盘,参考价：,1.25万,8.7
联想拯救者 Y7000 2019（i7 9750H/8GB/1TB/1660Ti）,参考价：,8599,
苹果MacBook Pro（MJLQ2CH/A）酷睿4代处理器，Retina显示屏，纤薄机身，高速闪存,参考价：,1.27万,9.1
机械革命深海幽灵Z2-G（i7 9750H/16GB/512GB）酷睿9代处理器，轻盈纤薄，颜值窄边框，机械键盘 ,参考价：,8699,9.4
惠普暗影精灵4 Pro 15-DC1003TX PRC（6GE51PA）酷睿8代处理器，RTX 20系显卡，144Hz屏，背光键盘,参考价：,9799,8.7
戴尔G7游戏本（G7 7588-D1865W）酷睿8代处理器，发烧级显卡，蓝牙5.0，指纹识别,参考价：,9999,9.8
神舟战神Z8-CR7P1酷睿8代处理器，RTX20显卡，144Hz电竞屏，全新游戏视界,参考价：,8599,9.5
联想拯救者Y9000K（i7 8750H/16GB/512GB+2TB/RTX2060）酷睿8代处理器，RTX20显卡，电竞屏，光线追踪,参考价：,1.5万,9.4
戴尔Latitude 14 7000系列 7490（N022L7490-D1716CN）,参考价：,1.48万,
苹果新款MacBook Pro 15英寸（MR962CH/A）酷睿8代处理器，触控ID，触控栏，视网膜显示屏,参考价：,1.75万,9.5
机械革命X9Ti-R（i7/16GB/512GB+2TB/RTX2070）,参考价：,1.4万,
戴尔XPS 15 微边框 二合一 银色（XPS 15-9575-D1805TS）酷睿8代处理器，支持触控，远程语音，背光键盘,参考价：,2.05万,9.8
惠普暗影精灵4 Pro 15-DC1001TX PRC（6GE55PA）酷睿8代处理器，RTX 20系显卡，144Hz屏，背光键盘,参考价：,8799,8.7
msi微星GS75 Stealth 8SG-029酷睿8代处理器，RTX 20显卡，IPS屏，背光键盘,参考价：,2.5万,10.0
Alienware Area-51m（ALWA51M-D1968W）酷睿9代处理器，RTX20显卡，144Hz电竞屏，炫酷外观,参考价：,4.8万,9.0
HUAWEI MateBook X Pro 2019款（i5/8GB/512GB/MX250）酷睿8代处理器，MX250显卡，全面屏，指纹电源键,参考价：,8999,9.5
华硕灵耀Deluxe14（i7/8GB/512GB）酷睿8代处理器，MX150显卡，窄边框屏幕，背光键盘,参考价：,8199,9.9
HUAWEI MateBook X Pro 2019款（i7/8GB/512GB/MX250）酷睿8代处理器，MX250显卡，全面屏，指纹电源键,参考价：,9799,9.5
戴尔XPS 13 微边框 银色（XPS 13-9380-D1505S）酷睿8代处理器，核心显卡，超窄边框，智能影音系统,参考价：,9999,9.4
苹果MacBook Air（MQD42CH/A）酷睿6代处理器，全尺寸背光键盘，Multi-Touch触控板，超长续航,参考价：,8099,9.8
机械革命深海幽灵Z2（i7 8750H/8GB/128GB+1TB/GTX1060）酷睿8代处理器，轻盈纤薄，颜值窄边框，二代光轴机械键盘,参考价：,8599,9.4
机械师F117-V（i7/8GB/512GB+1TB）酷睿8代处理器，RTX2060显卡，背光键盘，轻薄微边框,参考价：,9199,10.0
ThinkPad X1 Carbon 2018（20KH0009CD）酷睿8代处理器，核心显卡，背光键盘，指纹识别,参考价：,9999,9.4
ThinkPad T490（20N2A004CD）酷睿8代处理器，独立显卡，背光键盘，指纹识别,参考价：,9999,6.0
Alienware M15（ALW15M-D1738R）酷睿8代处理器，发烧级显卡，电竞屏，背光键盘,参考价：,2.3万,9.8
惠普暗影精灵4 Pro 15-DC1005TX PRC（6GE53PA）酷睿8代处理器，RTX 20系显卡，144Hz屏，背光键盘,参考价：,8299,8.7
苹果新款Macbook Pro 15英寸（MPTT2CH/A）超长续航，Retina屏，Multi-Touch Bar触控条，指纹识别,参考价：,2万,7.7
Acer 掠夺者刀锋500 PT515-51-745Q酷睿8代处理器，RTX20显卡，144HZ电竞屏，背光键盘,参考价：,2.4万,9.0
Alienware Area-51m（ALWA51M-D1746W）酷睿9代处理器，RTX20显卡，144Hz电竞屏，炫酷外观,参考价：,2.93万,9.0
微软Surface Pro 6（i7/16GB/512GB）酷睿8代处理器，核心显卡，触控屏，长效续航,参考价：,1.24万,9.8
雷神五代新911旗舰版酷睿9代处理器，GTX1660Ti显卡，背光键盘，窄边框屏,参考价：,8999,
ROG 冰刃3s Plus GX701GX（i7 8750H/24GB/1TB/RTX2080）酷睿8代处理器，RTX20显卡，电竞屏，背光键盘,参考价：,3万,9.2
Alienware 17（ALW17C-D2758）酷睿7代处理器，Tobii IR视觉跟踪，4区多色RGB键盘，发烧级显卡,参考价：,2万,9.1
ThinkPad X280（20KFA000CD）酷睿8代处理器，触控轻薄，全尺寸键盘，快充技术,参考价：,8999,6.0
联想拯救者 Y7000（i7 8750H/8GB/128GB+2TB/1060）酷睿8代处理器，背光键盘，太阳纹饰，窄边框屏幕,参考价：,8499,8.6
联想拯救者 Y7000P（i7 8750H/8GB/512GB/1060）酷睿8代处理器，金属机身，144Hz电竞屏， 背光键盘,参考价：,8599,9.4
ThinkPad T480（20L5A003CD）酷睿8代处理器，指纹识别，巧克力键盘，长效续航,参考价：,9499,3.5
微软Surface Book 2（i7/8GB/256GB/13寸）酷睿8代处理器，可拆卸键盘，触控屏，轻薄金属机身,参考价：,1.2万,6.1
雷神五代新911豪华版酷睿9代处理器，GTX1660Ti显卡，背光键盘，窄边框屏,参考价：,8299,
LG gram 17（17Z990-V.AA75C）酷睿8代处理器，纳米碳镁机身，2K分辨率，指纹识别,参考价：,1.3万,10.0
戴尔G7游戏本（G7 7588-D1965W）酷睿8代处理器，发烧级显卡，蓝牙5.0，指纹识别,参考价：,1.3万,9.8
小米游戏本（i7/16GB/256GB+1TB/GTX 1060）酷睿8代处理器，轻薄窄边框，炫彩背光键盘，玻璃触控板,参考价：,8999,5.8
ThinkPad T590（20N40018CD）酷睿8代处理器，MX250显卡，背光键盘，指纹识别,参考价：,1.05万,
联想拯救者 Y7000P（i7 8750H/16GB/512GB+2TB/1060）酷睿8代处理器，金属机身，144Hz电竞屏， 背光键盘,参考价：,9999,9.4
联想拯救者Y9000K（i7 8750H/32GB/512GB+2TB/RTX2080）酷睿8代处理器，RTX20显卡，电竞屏，光线追踪,参考价：,2.1万,9.4
神舟战神TX9-CT5DK酷睿9代处理器，RTX20显卡，144Hz电竞屏，炫酷外观,参考价：,9999,10.0
VAIO SX14（VJS141C0411T）酷睿8代处理器，5mm窄边框屏幕，静音键盘，A面碳纤维机身,参考价：,1.5万,
Acer 掠夺者刀锋500 PT515-51-76VM酷睿8代处理器，RTX20显卡，144HZ电竞屏，背光键盘,参考价：,2万,9.0
联想拯救者 Y7000P（i5 8300H/8GB/512GB/1060）酷睿8代处理器，金属机身，144Hz电竞屏， 背光键盘,参考价：,8199,9.4
戴尔G7游戏本（G7 7590-D1765B）酷睿8代处理器，RTX20系列显卡，72% 色域，窄边框,参考价：,1.2万,10.0
Alienware 17（ALW17C-D3748S）酷睿8代处理器，发烧级显卡，背光键盘，眼球追踪技术,参考价：,1.8万,9.8
ThinkPad T480s（20L7002XCD）酷睿8代处理器，背光键盘，MX150显卡，快充技术,参考价：,1.1万,8.6
HUAWEI MateBook X Pro（i7/16GB/512GB）全面屏，轻薄时尚，高效便捷，金属机身,参考价：,1.3万,9.5
华硕灵耀X Pro U5800GE（i7 8750H/16GB/512GB）酷睿8代处理器，GTX10系显卡，双屏扩展，指纹识别,参考价：,1.2万,9.2
Acer TMX514-51-50PJ酷睿9代处理器，背光键盘，指纹识别，微边框,参考价：,8999,
雷神新911 Pro钛空旗舰版酷睿9代处理器，新GTX显卡，4.7mm窄边框，背光键盘,参考价：,8999,10.0
神舟战神Z8-KP7S2,参考价：,8999,9.2
微软Surface Laptop（i5/8GB/256GB）酷睿7代处理器，PixelSense触控屏，核心显卡，玻璃触控板,参考价：,8288,8.6
机械革命X8Ti Plus（i7 8750H/16GB/256GB+1TB/GTX1060）酷睿8代处理器，发烧级显卡，144Hz电竞屏，机械键盘,参考价：,1.1万,9.8
华硕飞行堡垒6Plus FX86SM（i7 8750H/8GB/256GB+1TB/1060）酷睿8代处理器，发烧级显卡，144Hz电竞屏，背光键盘,参考价：,8999,9.0
戴尔G7游戏本（G7 7588-D4745W）,参考价：,9499,9.8
神舟战神G8-CT7NA酷睿9代处理器，RTX2060显卡，144Hz电竞屏，背光键盘,参考价：,8499,
ThinkPad P52（20M9A009CD）,参考价：,1.35万,
ThinkPad T580（20L9000JCD）酷睿8代处理器，MX150显卡，双电池，全尺寸键盘,参考价：,9999,
msi微星GS65 8RE-014CN第8代处理器，窄边框轻薄游戏本，8小时续航，RGB单键背光键盘,参考价：,1.5万,7.7
戴尔XPS 15 微边框 银色 （XPS 15-9570-D1945T）酷睿8代处理器，GTX 1050Ti显卡，IPS触控屏，背光键盘,参考价：,2.2万,6.5
苹果新款MacBook Pro 13英寸（MR9Q2CH/A）酷睿8代处理器，触控ID，触控栏，视网膜显示屏,参考价：,1.26万,9.6
雷神911 Pro（i7 8750H/16GB/512GB+1TB/RTX2070）酷睿8代处理器，RTX20显卡，144Hz电竞屏，炫酷外观,参考价：,1.6万,9.6
华硕飞行堡垒6 FX86FM 金属电竞（i7 8750H/16GB/256GB+1TB/1060）酷睿8代处理器，GTX10系显卡，6.5mm窄边框，背光键盘,参考价：,8699,9.8
ThinkPad T480（20L5A004CD）酷睿8代处理器，指纹识别，巧克力键盘，长效续航,参考价：,1.1万,3.5
惠普暗影精灵4 Pro 15-DC1002TX PRC（6GE50PA）酷睿8代处理器，RTX 20系显卡，144Hz屏，背光键盘,参考价：,8799,8.7
苹果新MacBook（MNYK2CH/A）酷睿7代处理器，Retina显示屏，背光键盘，超长续航,参考价：,9099,8.0
机械革命X9Ti-R（i7/16GB/512GB+1TB/RTX2060）,参考价：,1.05万,
雷神911 Pro（i7 8750H/16GB/256GB+1TB/RTX2070）酷睿8代处理器，RTX20显卡，144Hz电竞屏，炫酷外观,参考价：,1.6万,9.6
msi微星GL63 8RE-416CN酷睿8代处理器，GTX1060显卡，全新外观设计，双风扇七铜管散热,参考价：,8699,8.5
苹果新款MacBook Pro 15英寸（MR942CH/A）酷睿8代处理器，触控ID，触控栏，视网膜显示屏,参考价：,2.2万,9.5
联想拯救者 Y7000P 2019（i7 9750H/16GB/1TB+1TB/RTX2060）,参考价：,1.06万,
苹果新款MacBook Pro 15英寸（MR932CH/A）酷睿8代处理器，触控ID，触控栏，视网膜显示屏,参考价：,1.87万,9.5
联想YOGA S730-13IWL（i7 8565U/8GB/512GB）酷睿8代处理器，集成显卡，IPS屏幕，金属机身,参考价：,8999,10.0
ROG 魔霸3（i7 9750H/16GB/512GB/GTX1660Ti）,参考价：,9999,
ThinkPad X1 Carbon 2017（20HR000HUS）酷睿7代处理器，720p摄像头，5毫米微边框，巧克力背光键盘,参考价：,1.32万,9.9
微软Surface Book 2（i7/16GB/1TB/13寸）酷睿8代处理器，可拆卸键盘，触控屏，轻薄金属机身,参考价：,1.73万,6.1
